titulo,veiculo,url,data,imagem,descricao
Reportagem sobre biodiversidade no Alto Rio Negro,BBC News Brasil,https://www.bbc.com/portuguese/articles/cn40d3lznpeo?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnz-qsWw2lUqqKeMklq9v_8LY5LcBl8OojTzfkFMRrLMLChLcBoPkKrS1MseI_aem_0oX0PxxvP-DYqO5kILcEOQ,,,Reportagem da BBC News Brasil relacionada ao projeto e à biodiversidade amazônica.
JBRJ researchers receive Amazon+10 Initiative award,JBRJ,https://www.gov.br/jbrj/en/subjects/news/jbrj-researchers-receive-amazon-10-initiative-award,,,
